
======================================================================
               RELATÓRIO DE TREINAMENTO - PÊNDULO INVERTIDO
======================================================================

--- Hiperparâmetros do Algoritmo Q(λ) ---
Taxa de Aprendizado (ALPHA): 0.05
Fator de Desconto (GAMMA):   0.95
Fator de Decaimento (LAMBDA):  0.8

--- Restrições Físicas ---
Limite de Posição:    1
Limite de Ângulo (rad): 0.5
Limite de Velocidade: 3
Limite de Vel. Angular: 3

--- Parâmetros de Exploração (Epsilon-Greedy) ---
Epsilon Inicial:      1.0
Taxa de Decaimento:   5e-05
Epsilon Mínimo:       0.01

--- Discretização do Espaço de Estados ---
Posição:     6 bins
Ângulo:      10 bins
Velocidade:  6 bins
Vel. Angular:10 bins

--- Configurações Gerais ---
Episódios de Treino: 30000
Passos Máximos por Episódio: 500
======================================================================

Episódio: 7600/30000, Recompensa Total: 49.00, Epsilon: 0.0100
Episódio: 7700/30000, Recompensa Total: 67.00, Epsilon: 0.0100
Episódio: 7800/30000, Recompensa Total: 56.00, Epsilon: 0.0100
Episódio: 7900/30000, Recompensa Total: 51.00, Epsilon: 0.0100
Episódio: 8000/30000, Recompensa Total: 101.00, Epsilon: 0.0100
Episódio: 8100/30000, Recompensa Total: 65.00, Epsilon: 0.0100
Episódio: 8200/30000, Recompensa Total: 68.00, Epsilon: 0.0100
Episódio: 8300/30000, Recompensa Total: 45.00, Epsilon: 0.0100
Episódio: 8400/30000, Recompensa Total: 36.00, Epsilon: 0.0100
Episódio: 8500/30000, Recompensa Total: 63.00, Epsilon: 0.0100
Episódio: 8600/30000, Recompensa Total: 39.00, Epsilon: 0.0100
Episódio: 8700/30000, Recompensa Total: 61.00, Epsilon: 0.0100
Episódio: 8800/30000, Recompensa Total: 86.00, Epsilon: 0.0100
Episódio: 8900/30000, Recompensa Total: 111.00, Epsilon: 0.0100
Episódio: 9000/30000, Recompensa Total: 57.00, Epsilon: 0.0100
Episódio: 9100/30000, Recompensa Total: 60.00, Epsilon: 0.0100
Episódio: 9200/30000, Recompensa Total: 73.00, Epsilon: 0.0100
Episódio: 9300/30000, Recompensa Total: 65.00, Epsilon: 0.0100
Episódio: 9400/30000, Recompensa Total: 83.00, Epsilon: 0.0100
Episódio: 9500/30000, Recompensa Total: 92.00, Epsilon: 0.0100
Episódio: 9600/30000, Recompensa Total: 81.00, Epsilon: 0.0100
Episódio: 9700/30000, Recompensa Total: 97.00, Epsilon: 0.0100
Episódio: 9800/30000, Recompensa Total: 54.00, Epsilon: 0.0100
Episódio: 9900/30000, Recompensa Total: 9.00, Epsilon: 0.0100
Episódio: 10000/30000, Recompensa Total: 70.00, Epsilon: 0.0100
Episódio: 10100/30000, Recompensa Total: 57.00, Epsilon: 0.0100
Episódio: 10200/30000, Recompensa Total: 58.00, Epsilon: 0.0100
Episódio: 10300/30000, Recompensa Total: 71.00, Epsilon: 0.0100
Episódio: 10400/30000, Recompensa Total: 170.00, Epsilon: 0.0100
Episódio: 10500/30000, Recompensa Total: 70.00, Epsilon: 0.0100
Episódio: 10600/30000, Recompensa Total: 80.00, Epsilon: 0.0100
Episódio: 10700/30000, Recompensa Total: 72.00, Epsilon: 0.0100
Episódio: 10800/30000, Recompensa Total: 57.00, Epsilon: 0.0100
Episódio: 10900/30000, Recompensa Total: 39.00, Epsilon: 0.0100
Episódio: 11000/30000, Recompensa Total: 36.00, Epsilon: 0.0100
Episódio: 11100/30000, Recompensa Total: 62.00, Epsilon: 0.0100
Episódio: 11200/30000, Recompensa Total: 86.00, Epsilon: 0.0100
Episódio: 11300/30000, Recompensa Total: 166.00, Epsilon: 0.0100
Episódio: 11400/30000, Recompensa Total: 141.00, Epsilon: 0.0100
Episódio: 11500/30000, Recompensa Total: 76.00, Epsilon: 0.0100
Episódio: 11600/30000, Recompensa Total: 72.00, Epsilon: 0.0100
Episódio: 11700/30000, Recompensa Total: 57.00, Epsilon: 0.0100
Episódio: 11800/30000, Recompensa Total: 107.00, Epsilon: 0.0100
Episódio: 11900/30000, Recompensa Total: 72.00, Epsilon: 0.0100
Episódio: 12000/30000, Recompensa Total: 48.00, Epsilon: 0.0100
Episódio: 12100/30000, Recompensa Total: 42.00, Epsilon: 0.0100
Episódio: 12200/30000, Recompensa Total: 77.00, Epsilon: 0.0100
Episódio: 12300/30000, Recompensa Total: 81.00, Epsilon: 0.0100
Episódio: 12400/30000, Recompensa Total: 67.00, Epsilon: 0.0100
Episódio: 12500/30000, Recompensa Total: 100.00, Epsilon: 0.0100
Episódio: 12600/30000, Recompensa Total: 89.00, Epsilon: 0.0100
Episódio: 12700/30000, Recompensa Total: 82.00, Epsilon: 0.0100
Episódio: 12800/30000, Recompensa Total: 47.00, Epsilon: 0.0100
Episódio: 12900/30000, Recompensa Total: 73.00, Epsilon: 0.0100
Episódio: 13000/30000, Recompensa Total: 98.00, Epsilon: 0.0100
Episódio: 13100/30000, Recompensa Total: 47.00, Epsilon: 0.0100
Episódio: 13200/30000, Recompensa Total: 63.00, Epsilon: 0.0100
Episódio: 13300/30000, Recompensa Total: 70.00, Epsilon: 0.0100
Episódio: 13400/30000, Recompensa Total: 59.00, Epsilon: 0.0100
Episódio: 13500/30000, Recompensa Total: 79.00, Epsilon: 0.0100
Episódio: 13600/30000, Recompensa Total: 25.00, Epsilon: 0.0100
Episódio: 13700/30000, Recompensa Total: 78.00, Epsilon: 0.0100
Episódio: 13800/30000, Recompensa Total: 27.00, Epsilon: 0.0100
Episódio: 13900/30000, Recompensa Total: 63.00, Epsilon: 0.0100
Episódio: 14000/30000, Recompensa Total: 84.00, Epsilon: 0.0100
Episódio: 14100/30000, Recompensa Total: 54.00, Epsilon: 0.0100
Episódio: 14200/30000, Recompensa Total: 45.00, Epsilon: 0.0100
Episódio: 14300/30000, Recompensa Total: 81.00, Epsilon: 0.0100
Episódio: 14400/30000, Recompensa Total: 95.00, Epsilon: 0.0100
Episódio: 14500/30000, Recompensa Total: 57.00, Epsilon: 0.0100
Episódio: 14600/30000, Recompensa Total: 65.00, Epsilon: 0.0100
Episódio: 14700/30000, Recompensa Total: 91.00, Epsilon: 0.0100
Episódio: 14800/30000, Recompensa Total: 74.00, Epsilon: 0.0100
Episódio: 14900/30000, Recompensa Total: 77.00, Epsilon: 0.0100
Episódio: 15000/30000, Recompensa Total: 71.00, Epsilon: 0.0100
Episódio: 15100/30000, Recompensa Total: 59.00, Epsilon: 0.0100
Episódio: 15200/30000, Recompensa Total: 60.00, Epsilon: 0.0100
Episódio: 15300/30000, Recompensa Total: 86.00, Epsilon: 0.0100
Episódio: 15400/30000, Recompensa Total: 77.00, Epsilon: 0.0100
Episódio: 15500/30000, Recompensa Total: 75.00, Epsilon: 0.0100
Episódio: 15600/30000, Recompensa Total: 63.00, Epsilon: 0.0100
Episódio: 15700/30000, Recompensa Total: 82.00, Epsilon: 0.0100
Episódio: 15800/30000, Recompensa Total: 87.00, Epsilon: 0.0100
Episódio: 15900/30000, Recompensa Total: 55.00, Epsilon: 0.0100
Episódio: 16000/30000, Recompensa Total: 63.00, Epsilon: 0.0100
Episódio: 16100/30000, Recompensa Total: 155.00, Epsilon: 0.0100
Episódio: 16200/30000, Recompensa Total: 83.00, Epsilon: 0.0100
Episódio: 16300/30000, Recompensa Total: 100.00, Epsilon: 0.0100
Episódio: 16400/30000, Recompensa Total: 30.00, Epsilon: 0.0100
Episódio: 16500/30000, Recompensa Total: 64.00, Epsilon: 0.0100
Episódio: 16600/30000, Recompensa Total: 205.00, Epsilon: 0.0100
Episódio: 16700/30000, Recompensa Total: 100.00, Epsilon: 0.0100
Episódio: 16800/30000, Recompensa Total: 169.00, Epsilon: 0.0100
Episódio: 16900/30000, Recompensa Total: 123.00, Epsilon: 0.0100
Episódio: 17000/30000, Recompensa Total: 78.00, Epsilon: 0.0100
Episódio: 17100/30000, Recompensa Total: 8.00, Epsilon: 0.0100
Episódio: 17200/30000, Recompensa Total: 39.00, Epsilon: 0.0100
Episódio: 17300/30000, Recompensa Total: 96.00, Epsilon: 0.0100
Episódio: 17400/30000, Recompensa Total: 132.00, Epsilon: 0.0100
